>>> datacard for TT_sd, count

imax 10 number of channels (muon_2j1t_central, muon_2j1t_forward, muon_3j1t_central, muon_3j1t_forward, muon_3j2t, electron_2j1t_central, electron_2j1t_forward, electron_3j1t_central, electron_3j1t_forward, electron_3j2t)
jmax 8 number of backgrounds (TT, ST_sch, ST_tch_sd, ST_tW, DYJets, WJets, VV, DDQCD)
kmax 11 number of nuisance parameters (lumi, jes, q2TT, q2WJets, pdf_total, q2ST_tch, q2ST_tch_sd, btag, mistag, lep, pu)
---------------------
bin	muon_2j1t_central	muon_2j1t_forward	muon_3j1t_central	muon_3j1t_forward	muon_3j2t	electron_2j1t_central	electron_2j1t_forward	electron_3j1t_central	electron_3j1t_forward	electron_3j2t
observation	278671	50274	220529	66050	90513	163327	24514	137324	36059	55023
---------------------
bin	muon_2j1t_central	muon_2j1t_central	muon_2j1t_central	muon_2j1t_central	muon_2j1t_central	muon_2j1t_central	muon_2j1t_central	muon_2j1t_central	muon_2j1t_central	muon_2j1t_forward	muon_2j1t_forward	muon_2j1t_forward	muon_2j1t_forward	muon_2j1t_forward	muon_2j1t_forward	muon_2j1t_forward	muon_2j1t_forward	muon_2j1t_forward	muon_3j1t_central	muon_3j1t_central	muon_3j1t_central	muon_3j1t_central	muon_3j1t_central	muon_3j1t_central	muon_3j1t_central	muon_3j1t_central	muon_3j1t_central	muon_3j1t_forward	muon_3j1t_forward	muon_3j1t_forward	muon_3j1t_forward	muon_3j1t_forward	muon_3j1t_forward	muon_3j1t_forward	muon_3j1t_forward	muon_3j1t_forward	muon_3j2t	muon_3j2t	muon_3j2t	muon_3j2t	muon_3j2t	muon_3j2t	muon_3j2t	muon_3j2t	muon_3j2t	electron_2j1t_central	electron_2j1t_central	electron_2j1t_central	electron_2j1t_central	electron_2j1t_central	electron_2j1t_central	electron_2j1t_central	electron_2j1t_central	electron_2j1t_central	electron_2j1t_forward	electron_2j1t_forward	electron_2j1t_forward	electron_2j1t_forward	electron_2j1t_forward	electron_2j1t_forward	electron_2j1t_forward	electron_2j1t_forward	electron_2j1t_forward	electron_3j1t_central	electron_3j1t_central	electron_3j1t_central	electron_3j1t_central	electron_3j1t_central	electron_3j1t_central	electron_3j1t_central	electron_3j1t_central	electron_3j1t_central	electron_3j1t_forward	electron_3j1t_forward	electron_3j1t_forward	electron_3j1t_forward	electron_3j1t_forward	electron_3j1t_forward	electron_3j1t_forward	electron_3j1t_forward	electron_3j1t_forward	electron_3j2t	electron_3j2t	electron_3j2t	electron_3j2t	electron_3j2t	electron_3j2t	electron_3j2t	electron_3j2t	electron_3j2t
process	TT_sd	TT	ST_sch	ST_tch_sd	ST_tW	DYJets	WJets	VV	DDQCD	TT_sd	TT	ST_sch	ST_tch_sd	ST_tW	DYJets	WJets	VV	DDQCD	TT_sd	TT	ST_sch	ST_tch_sd	ST_tW	DYJets	WJets	VV	DDQCD	TT_sd	TT	ST_sch	ST_tch_sd	ST_tW	DYJets	WJets	VV	DDQCD	TT_sd	TT	ST_sch	ST_tch_sd	ST_tW	DYJets	WJets	VV	DDQCD	TT_sd	TT	ST_sch	ST_tch_sd	ST_tW	DYJets	WJets	VV	DDQCD	TT_sd	TT	ST_sch	ST_tch_sd	ST_tW	DYJets	WJets	VV	DDQCD	TT_sd	TT	ST_sch	ST_tch_sd	ST_tW	DYJets	WJets	VV	DDQCD	TT_sd	TT	ST_sch	ST_tch_sd	ST_tW	DYJets	WJets	VV	DDQCD	TT_sd	TT	ST_sch	ST_tch_sd	ST_tW	DYJets	WJets	VV	DDQCD
process	0	1	2	3	4	5	6	7	8	0	1	2	3	4	5	6	7	8	0	1	2	3	4	5	6	7	8	0	1	2	3	4	5	6	7	8	0	1	2	3	4	5	6	7	8	0	1	2	3	4	5	6	7	8	0	1	2	3	4	5	6	7	8	0	1	2	3	4	5	6	7	8	0	1	2	3	4	5	6	7	8	0	1	2	3	4	5	6	7	8
rate	487.4	1.595e+05	4638	13.9	1.762e+04	6681	4.545e+04	1115	1.027e+04	38.61	1.727e+04	748.4	4.903	1541	1785	8388	167.9	7191	674.3	1.834e+05	1248	9.102	1.114e+04	1717	1.383e+04	619.5	2502	136.5	4.767e+04	494.8	10.9	3074	1201	6342	188.7	3387	15.58	8.086e+04	795.9	0.1839	2129	650.6	2058	126.4	766.7	310.7	1.017e+05	2680	9.245	1.142e+04	5964	2.163e+04	620.8	6184	20.23	9180	237.6	3.07	877.6	1091	3929	71.67	1	438.5	1.191e+05	861.4	6.315	7729	2001	7109	388.6	1	78.1	2.687e+04	200.9	6.79	1809	1103	2658	103.6	1	9.789	5.079e+04	512.2	0.1244	1417	679.1	774.6	72.38	1
---------------------
lumi	lnN	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027	1.027
jes	lnN	1.063	1.061	1.018	1.05	1.036	1.017	1.019	1.028	1.018	1.084	1.078	1.019	1.044	1.06	1.016	1.025	1.045	1.036	1.01	1.01	1.035	1.012	1.014	1.055	1.031	1.014	1.082	1.045	1.047	1.11	1.054	1.081	1.236	1.141	1.094	1.13	1.025	1.012	1.028	1.017	1.01	1.078	1.047	1.03	1.047	1.063	1.061	1.02	1.052	1.035	1.019	1.025	1.03	2.168	1.084	1.08	1.032	1.044	1.051	1.052	1.016	1.02	430	1.009	1.009	1.031	1.012	1.009	1.019	1.026	1.017	1	1.041	1.043	1.112	1.051	1.08	1.227	1.067	1.09	492.8	1.023	1.012	1.04	1.009	1.007	1.037	1.035	1.031	1
q2TT	lnN	1	1.117	1	1	1	1	1	1	1	1	1.135	1	1	1	1	1	1	1	1	1.119	1	1	1	1	1	1	1	1	1.135	1	1	1	1	1	1	1	1	1.117	1	1	1	1	1	1	1	1	1.114	1	1	1	1	1	1	1	1	1.14	1	1	1	1	1	1	1	1	1.117	1	1	1	1	1	1	1	1	1.136	1	1	1	1	1	1	1	1	1.114	1	1	1	1	1	1	1
q2WJets	lnN	1	1	1	1	1	1	1.05	1	1	1	1	1	1	1	1	1.055	1	1	1	1	1	1	1	1	1.099	1	1	1	1	1	1	1	1	1.116	1	1	1	1	1	1	1	1	1.078	1	1	1	1	1	1	1	1	1.043	1	1	1	1	1	1	1	1	1.077	1	1	1	1	1	1	1	1	1.09	1	1	1	1	1	1	1	1	1.031	1	1	1	1	1	1	1	1	1.029	1	1
pdf_total	lnN	1.023	1.023	1.03	1.033	1	1.025	1.033	1.031	1	1.04	1.04	1.029	1.039	1	1.041	1.047	1.038	1	1.023	1.023	1.031	1.028	1	1.034	1.033	1.031	1	1.033	1.035	1.035	1.038	1	1.058	1.043	1.037	1	1.024	1.023	1.031	1.04	1	1.041	1.031	1.034	1	1.023	1.023	1.029	1.031	1	1.027	1.034	1.03	1.535	1.036	1.035	1.035	1.036	1	1.036	1.049	1.038	204.8	1.023	1.023	1.03	1.027	1	1.026	1.033	1.03	1	1.03	1.031	1.036	1.037	1	1.028	1.045	1.041	1	1.023	1.023	1.03	1.036	1	1.027	1.032	1.032	1
q2ST_tch	lnN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
q2ST_tch_sd	lnN	1	1	1	1.057	1	1	1	1	1	1	1	1	1.076	1	1	1	1	1	1	1	1	1.062	1	1	1	1	1	1	1	1	1.08	1	1	1	1	1	1	1	1	1.069	1	1	1	1	1	1	1	1	1.058	1	1	1	1	1	1	1	1	1.078	1	1	1	1	1	1	1	1	1.061	1	1	1	1	1	1	1	1	1.081	1	1	1	1	1	1	1	1	1.07	1	1	1	1	1
btag	lnN	1.001	1.01	1.004	1.001	1.014	1.018	1.026	1.025	1.015	1.001	1.016	1.016	1	1.017	1.02	1.03	1.027	1.017	1	1.005	1.003	1	1.011	1.017	1.024	1.025	1.013	1.001	1.011	1.01	1	1.015	1.016	1.026	1.025	1.018	1.034	1.033	1.034	1.02	1.037	1.034	1.039	1.039	1.037	1.001	1.01	1.003	1.001	1.014	1.017	1.028	1.026	1.332	1.001	1.016	1.016	1	1.016	1.024	1.036	1.026	161.2	1	1.005	1.002	1	1.012	1.012	1.024	1.025	1	1.001	1.011	1.008	1	1.014	1.02	1.03	1.022	1	1.034	1.033	1.035	1.022	1.038	1.034	1.038	1.036	1
mistag	lnN	1.236	1	1	1.234	1	1.021	1.02	1.015	1.005	1.241	1	1	1.241	1.001	1.014	1.032	1.023	1.012	1.231	1	1	1.234	1	1.022	1.024	1.015	1	1.236	1	1	1.239	1	1.04	1.023	1.017	1.008	1.34	1.002	1.001	1.401	1.004	1.02	1.016	1.009	1.001	1.236	1	1	1.234	1	1.01	1.02	1.009	1.081	1.241	1	1.001	1.242	1	1	1.023	1.013	1	1.231	1	1	1.233	1	1.01	1.018	1.016	1	1.236	1	1	1.239	1	1.021	1.022	1.014	1	1.342	1.002	1.001	1.398	1.003	1.004	1.004	1.006	1
lep	lnN	1.006	1.006	1.007	1.006	1.006	1.008	1.007	1.007	1.013	1.006	1.006	1.008	1.006	1.006	1.007	1.008	1.008	1.011	1.006	1.006	1.007	1.006	1.006	1.009	1.008	1.008	1.01	1.006	1.006	1.007	1.006	1.007	1.005	1.007	1.008	1.015	1.006	1.006	1.007	1.007	1.006	1.004	1.008	1.007	1.022	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
